Title,Description,Location,Cost,Available_Start_Time,Available_End_Time
Skip Bin Hire (2m³ Mini Skip),"Hire a 2m³ skip bin for light household cleanouts, garden waste, and general rubbish. Delivery and pickup included. Bin will be dropped at your kerbside or driveway on your chosen date. Hire period is up to 3 days. Prohibited items include tyres, asbestos, liquids, and e-waste. Additional days available on request.","CityLink Depot, Osborne Park WA 6017",95.00,07:00,16:00
Skip Bin Hire (4m³ Standard Skip),"A 4m³ skip bin suitable for medium renovation projects, shed cleanouts, and bulk hard rubbish. Delivery and collection included. Maximum hire period is 5 days. Ideal for mixed general waste including timber, plasterboard, and furniture. Council permit required if placed on a verge or road — lodge through CityLink.","CityLink Depot, Osborne Park WA 6017",160.00,07:00,16:00
Trailer Hire (Box Trailer),"Hire a single-axle box trailer for moving furniture, garden waste, or general loads. Capacity 600 kg. Available for half-day (4 hrs) or full-day hire. Suitable for standard tow balls — please check your vehicle rating before booking. Ball and hitch not provided. Valid driver's licence required at pickup.","CityLink Depot, Osborne Park WA 6017",45.00,07:30,17:00
Trailer Hire (Enclosed Cage Trailer),"A full-size enclosed cage trailer suitable for bulk rubbish runs and large loads. Capacity 1,000 kg. Available for half-day or full-day hire. Features removable mesh sides and secure tailgate. Valid driver's licence and proof of tow capacity required at pickup. Fuel not included.","CityLink Depot, Osborne Park WA 6017",65.00,07:30,17:00
Community Room Hire — Small Meeting Room,"A quiet, air-conditioned meeting room seating up to 12 people, available for community group meetings, workshops, and study sessions. Includes a whiteboard, projector and screen, and Wi-Fi. Kitchenette access included. Bookings available in 2-hour blocks. Alcohol not permitted without prior approval.","CityLink Community Hall, 42 Council Drive, Perth WA 6000",30.00,08:00,21:00
Community Room Hire — Large Function Hall,"A spacious hall available for community functions, events, and presentations. Seats up to 120 theatre-style or 80 banquet-style. Includes stage, AV system, PA, and data projector. Commercial kitchen access available at additional cost. Liquor licence required for events serving alcohol. Setup and pack-down time included.","CityLink Community Hall, 42 Council Drive, Perth WA 6000",180.00,08:00,22:00
Outdoor Venue Hire — Riverside Pavilion,"Hire the Riverside Pavilion for birthdays, engagement parties, and small community gatherings of up to 60 guests. Features covered outdoor seating, BBQ facilities, power outlets, and direct river foreshore access. BYO catering permitted. Noise restriction applies after 9 PM. Bond required at booking.","Riverside Pavilion, South Perth Foreshore, South Perth WA 6151",120.00,09:00,21:00
BBQ & Picnic Shelter Hire,"Reserve one of the council's premium riverside BBQ shelter areas exclusively for your group. Each shelter includes two gas BBQs, a large picnic table, shade structure, and nearby parking. Ideal for groups of up to 30. Booking ensures exclusive access and prevents casual use by others during your time slot.","Coode Street Park, South Perth WA 6151",40.00,08:00,18:00
Portable PA System Hire,"Borrow the council's portable PA system for community events, small concerts, and outdoor presentations. Includes a Bluetooth-enabled amplifier, two passive speakers on stands, two wired microphones, and a 10m extension cable. Suitable for groups of up to 300 outdoors. Bond required. Delivery available within metro area at additional cost.","CityLink Depot, Osborne Park WA 6017",55.00,08:00,17:00
Projector & Screen Kit Hire,"Hire a full presentation kit including a 3,500-lumen HD projector, 2.4m portable projection screen, HDMI and VGA cables, and a wireless presenter clicker. Ideal for community presentations, movie nights, and training sessions. Setup guide included. Pickup and drop-off from the depot only.","CityLink Depot, Osborne Park WA 6017",35.00,08:00,17:00
Footpath Closure Permit & Barriers,"Apply for a council-managed temporary footpath or verge closure for approved works, events, or access needs. Includes delivery and placement of safety barriers and signage. Standard closure covers up to 20 linear metres. Application must be submitted at least 5 business days before required date. Works must comply with MRWA guidelines.","CityLink Civic Centre, Perth WA 6000",75.00,07:00,16:30
Graffiti Removal Service,"Council-funded graffiti removal for residential and commercial properties within the local government area. Service covers paint-based tags on masonry, fencing, and roller doors up to 4m². Request submitted through CityLink is assessed within 2 business days and scheduled within 5 business days. Repeat offences may be referred to Police.","CityLink Civic Centre, Perth WA 6000",0.00,08:00,16:00
Verge Mulch Delivery,"Free mulch delivered to your verge from the council's green waste recycling program. Orders are fulfilled in batches — typical delivery within 10 business days. One delivery per property per calendar year. Mulch type and quantity are subject to availability. Request volume is approximate; exact amount may vary.","CityLink Depot, Osborne Park WA 6017",0.00,07:00,15:30
Tennis Court Hire — Leederville Courts,"Book one of three hardcourt tennis courts at the Leederville reserve. Suitable for social play, coaching, and group sessions. Racquet hire available on-site from the adjacent tennis club. Floodlit courts available for evening sessions. Bookings are per court per hour. Junior discounts apply — enter concession card at checkout.","Leederville Tennis Reserve, Leederville WA 6007",14.00,07:00,21:30
Council Venue Photography Permit,"Apply for a photography or video permit to use council-managed open spaces, parks, and landmarks for professional shoots, weddings, and commercial productions. Includes access to one designated area for up to 4 hours. Larger productions or multiple locations require a separate application. Drone use requires additional CASA approvals.","CityLink Civic Centre, Perth WA 6000",85.00,06:00,19:00
