Title,Description,Location,Cost,Max_Capcity,Start_Date_Time,End_Date_Time
Sunset Farmers Market,"A weekly outdoor market featuring over 40 local growers and producers. Browse fresh seasonal fruit and vegetables, artisan breads, locally sourced honey, and handmade preserves. Live acoustic music and food trucks on site. Great for families and a wonderful way to support WA's farming community.","Langley Park, Perth WA 6000",0.00,300,2025-09-06 08:00,2025-09-06 13:00
Bush Tucker & Noongar Culture Walk,"Join Noongar elder guides for a two-hour interpretive walk through Bold Park, learning about traditional bush foods, medicinal plants, and the deep cultural significance of the Perth coastal landscape. A hands-on and deeply respectful experience for all ages.","Bold Park, Floreat WA 6014",15.00,25,2025-09-13 09:00,2025-09-13 11:00
Community Emergency Preparedness Expo,"A free half-day expo run by the City in partnership with DFES and St John WA. Attend demonstrations on home fire safety, cyclone and storm preparedness, first aid basics, and how to build a household emergency kit. Information stalls from council rangers, SES, and local volunteer groups.","CityLink Community Hall, Perth WA 6000",0.00,200,2025-10-04 09:00,2025-10-04 13:00
School Holiday Science Spectacular,"A hands-on STEM workshop series for children aged 8–14 during the October school holidays. Kids rotate through four activity stations covering robotics, chemistry experiments, coding puzzles, and sustainable engineering challenges. All materials provided. Bookings essential.","CityLink Community Hall, Perth WA 6000",12.00,60,2025-10-07 10:00,2025-10-07 12:30
Multicultural Street Festival,"A vibrant celebration of our community's cultural diversity. Enjoy food stalls, traditional dance performances, live music, craft markets, and cultural displays from over 20 community groups. Free entry for all. The festival is supported by the Office of Multicultural Interests WA.","Northbridge Piazza, Perth WA 6003",0.00,1500,2025-10-18 11:00,2025-10-18 20:00
Spring Garden & Sustainability Fair,"Celebrate spring with a free community fair focused on sustainable living and home gardening. Workshops include worm farming, rainwater harvesting, composting basics, and growing native edible plants. Free seedling giveaway for the first 100 attendees.","Mends Street Reserve, South Perth WA 6151",0.00,250,2025-10-25 09:00,2025-10-25 15:00
Youth Leadership Summit,"A full-day summit for young people aged 16–25 focused on civic engagement, community leadership, and local government. Hear from elected councillors, local advocates, and young entrepreneurs. Includes facilitated workshops, panel Q&A, and a networking lunch. Certificate of participation provided.","Perth Town Hall, Perth WA 6000",0.00,80,2025-11-08 09:00,2025-11-08 17:00
Outdoor Cinema: Classic Australian Film Night,"Bring a rug and settle in for an evening screening of a beloved Australian film classic under the stars. BYO picnic or purchase from the on-site food vendors. Doors open at 6:30 PM with the screening beginning at dusk. Suitable for all ages. Bookings required.","Supreme Court Gardens, Perth WA 6000",8.00,400,2025-11-14 18:30,2025-11-14 22:00
Community CPR & Defibrillator Training,"A free two-hour certified CPR and AED training session delivered by St John Ambulance WA. Learn how to respond to cardiac emergencies, use a public defibrillator, and perform effective chest compressions. Open to all residents 15 and over. Numbers strictly limited — book early.","Leederville Community Centre, Leederville WA 6007",0.00,30,2025-11-22 10:00,2025-11-22 12:00
Christmas Lights Trail & Carols in the Park,"Kick off the festive season with the City's annual Christmas Lights Trail through the CBD, followed by a community carols concert. Local choirs, school groups, and special guest performers take the stage. Free entry. BYO chairs and blankets. Sausage sizzle and refreshments available on-site.","Forrest Place & Russell Square, Perth WA 6000",0.00,2000,2025-12-06 18:00,2025-12-06 21:30
Seniors Tech Help Morning,"A relaxed drop-in session for residents aged 60+ wanting help with smartphones, tablets, and online services. Friendly volunteers assist with topics including video calling, internet banking safety, government myGov accounts, and accessing council services online. Refreshments provided.","Subiaco Library, Subiaco WA 6008",0.00,40,2025-12-13 10:00,2025-12-13 12:00
New Year Community Clean-Up Day,"Start the new year right by joining your neighbours to clean up local parks, bushland, and foreshore areas. Gloves, bags, and equipment provided by the council. Morning tea included. Volunteers registered through CityLink receive a certificate of community service.","Herdsman Lake Regional Park, Wembley WA 6014",0.00,100,2026-01-10 07:30,2026-01-10 11:00
Summer Twilight Concert Series,"Three consecutive Friday evening outdoor concerts over January and February, each featuring a different local genre — jazz, folk, and contemporary. Set up a picnic on the lawn and enjoy the warm Perth evenings with your family and friends. Free entry. Licensed bar available for adults.","Elizabeth Quay Amphitheatre, Perth WA 6000",0.00,800,2026-01-16 18:00,2026-01-16 21:00
Water Safety & Beach Awareness Day,"A free family event run with Surf Life Saving WA covering rip current awareness, safe swimming zones, sun protection, and basic beach first aid. Lifesavers on hand for demonstrations. Suitable for children and adults. Includes free sunscreen, hats for kids, and a sand sculpture competition.","Cottesloe Beach, Cottesloe WA 6011",0.00,500,2026-01-24 09:00,2026-01-24 14:00
Local History Lecture Series: Perth in the 1900s,"A four-part monthly lecture series exploring Perth's early colonial and post-federation history through the State Records Office archive. Presented by a local historian in partnership with the City Library. Light refreshments included. Each session stands alone — attend one or all four.","Perth City Library, Perth WA 6000",5.00,60,2026-02-07 14:00,2026-02-07 16:00
